country
AUS
AUT
BEL
BGR
BRA
CAN
CHE
CHN
CZE
DEU
DNK
ESP
EST
FIN
FRA
GBR
GRC
HRV
HUN
IDN
IND
IRL
ITA
JPN
KOR
LTU
LVA
MEX
NLD
NOR
POL
PRT
ROU
ROW
RUS
SVK
SVN
SWE
TUR
TWN
USA
