iteration,max_abs_excess_demand
164,3.109463664330292e-08
165,2.9232460008188355e-08
166,2.748180460976357e-08
167,2.583598979200019e-08
168,2.4288739908229218e-08
169,2.2834150348316484e-08
170,2.146667288371873e-08
171,2.0181089466220214e-08
172,1.897249668481038e-08
173,1.7836283561223354e-08
174,1.6768113786369554e-08
175,1.5763915506283865e-08
176,1.4819855342906862e-08
177,1.3932333287058896e-08
178,1.3097961604202624e-08
179,1.231355928332789e-08
180,1.1576132052937282e-08
181,1.0882867496064819e-08
182,1.0231120839421237e-08
183,9.618406071609797e-09
184,9.042384618851429e-09
185,8.500859349780399e-09
186,7.991765027526299e-09
187,7.51315942792985e-09
188,7.063216012070939e-09
189,6.640217931064285e-09
190,6.2425522528997135e-09
191,5.868702412925586e-09
192,5.517240664332235e-09
193,5.186827856107357e-09
194,4.876201886716558e-09
195,4.584179702504798e-09
196,4.309644863198514e-09
197,4.051551538708509e-09
198,3.808914295078125e-09
199,3.5808080944832454e-09
200,3.3663631882063783e-09
201,3.1647602316553503e-09
202,2.9752313945863307e-09
203,2.797052145453449e-09
204,2.6295439159440548e-09
205,2.4720676616851733e-09
206,2.324021419752853e-09
207,2.184841862984399e-09
208,2.053997638640226e-09
209,1.930989368403857e-09
210,1.8153472058912712e-09
211,1.706631058695507e-09
212,1.6044245931823298e-09
213,1.5083401194715407e-09
214,1.4180103757865936e-09
215,1.3330887504992006e-09
216,1.2532537230214302e-09
217,1.1781990938430908e-09
218,1.1076399797360637e-09
219,1.0413063744607598e-09
220,9.789451471675648e-10
221,9.203184880846038e-10
222,8.652034644285322e-10
223,8.133884676908565e-10
224,7.646769883962179e-10
225,7.188820649872696e-10
226,6.758309467613799e-10
227,6.353564341310403e-10
228,5.973068706310869e-10
229,5.615354847776644e-10
230,5.279063852725585e-10
231,4.962916744233326e-10
232,4.665696717864876e-10
233,4.386284668811413e-10
234,4.123597019400904e-10
235,3.8766478915874814e-10
236,3.644480273123918e-10
237,3.4262326309431046e-10
238,3.2210345501937354e-10
239,3.0281421814493115e-10
240,2.8467916912688906e-10
241,2.6763058436074516e-10
242,2.516027386434416e-10
243,2.3653434766401915e-10
244,2.2236945618203663e-10
245,2.0905233100165788e-10
246,1.965325679975649e-10
247,1.8476353780272348e-10
248,1.7369816696088947e-10
249,1.6329604335396652e-10
250,1.5351653281925337e-10
251,1.4432277595233245e-10
252,1.3567946766102068e-10
253,1.2755374534378916e-10
254,1.1991585502357793e-10
255,1.1273404432188272e-10
256,1.0598255606453222e-10
257,9.96354110327502e-11
